"Advanced Options","高级选项"
"Category View","分类视图"
"Category View (Grid Mode)","分类视图（网格模式）"
"Colors","颜色"
"Custom Tabs on Product View","产品视图中Custom Tabs"
"Customization Settings","自定义CSS样式"
"Font","字体"
"Is Featured","特色产品"
"item(s)","件"
"links","个人中心"
"Main Container","主容器外观"
"Newsletter Popup","弹出式欢迎窗口"
"Next","下一张图片"
"Next Product","下一个产品"
"Porto(2.0)","Sunpop Porto模板(2.0)"
"Porto - Design Panel","模板设计面板"
"Porto - Settings Panel","模板设置面板"
"Product Label","产品促销标签"
"Product View","产品视图"
"Product Compare","产品比较"
"Previous","上一张图片"
"Previous Product","上一个产品"
"SW Extensions","Sunpop SW EXTENSIONS"
"Theme Installation","安装样例页面（请在管理员指导下操作）"
